STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-02-18,5,5.7,80.00,3.9,-3.7,1025.00,-999,-5.5,-5.1,-1.0,-999,7,.0,-999,8
433,1948-02-19,5,4.7,72.00,2.5,-8.0,1022.30,-999,-8.4,-9.2,-4.5,-999,7,.9,-999,8
433,1948-02-20,5,1.3,74.00,2.0,-10.4,1024.80,-999,-14.0,-13.3,-8.1,-999,7,.0,-999,6
433,1948-02-21,5,.0,73.00,2.0,-10.1,1023.30,-999,-15.0,-13.7,-7.2,-999,0,.0,-999,6
433,1948-02-22,5,8.0,82.00,2.9,-7.3,1010.40,-999,-15.0,-10.2,-5.8,-999,0,.0,-999,5
433,1948-02-23,5,7.3,90.00,3.9,-4.3,1008.30,-999,-6.8,-6.1,-3.2,-999,7,7.8,-999,12
433,1948-02-24,5,5.0,79.00,3.9,-2.4,1020.90,-999,-11.9,-8.0,.9,-999,8,.0,-999,12
433,1948-02-25,5,4.3,82.00,4.1,-3.0,1025.60,-999,-9.6,-4.5,.8,-999,0,.0,-999,10
433,1948-02-26,5,5.3,93.00,4.2,-4.0,1031.20,-999,-7.9,-6.8,-1.1,-999,7,.0,-999,10
433,1948-02-27,5,2.7,81.00,4.1,-2.2,1029.40,-999,-9.4,-8.5,1.8,-999,1,.0,-999,9
433,1948-02-28,5,.3,67.00,4.3,.8,1027.80,-999,-7.9,-5.4,7.7,-999,0,.0,-999,8
433,1948-02-29,5,7.0,72.00,4.5,.6,1027.40,-999,-9.3,-4.1,4.4,-999,0,.0,-999,6
433,1948-03-01,5,3.0,83.00,5.2,.1,1033.00,-999,-3.1,-2.2,2.8,-999,0,.0,-999,3
433,1948-03-02,5,.0,76.00,4.9,.9,1034.70,-999,-5.6,-4.3,5.8,-999,0,.0,-999,1
433,1948-03-03,5,.0,79.00,5.3,1.4,1033.80,-999,-4.6,-4.1,8.7,-999,0,.0,-999,0
433,1948-03-04,5,.0,85.00,5.1,-.5,1034.70,-999,-5.3,-4.3,5.5,-999,0,.0,-999,0
433,1948-03-05,5,2.7,90.00,5.4,-.4,1032.40,-999,-4.9,-5.0,4.1,-999,0,.0,-999,0
433,1948-03-06,5,.3,74.00,5.8,3.9,1028.50,-999,-4.6,-2.9,12.0,-999,0,.0,-999,0
433,1948-03-07,5,2.0,73.00,6.6,6.2,1025.90,-999,-3.5,-1.1,11.4,-999,0,.0,-999,0
433,1948-03-08,5,8.0,95.00,10.2,8.2,1024.90,-999,1.0,4.7,12.2,-999,0,.0,-999,0
433,1948-03-09,5,6.3,95.00,10.7,8.8,1024.40,-999,7.1,7.8,10.0,-999,1,3.6,-999,0
433,1948-03-10,5,4.7,72.00,8.0,7.6,1019.60,-999,7.0,5.3,13.0,-999,1,.1,-999,0
433,1948-03-11,5,7.0,77.00,7.7,7.0,1020.30,-999,3.4,4.5,10.0,-999,1,.0,-999,0
433,1948-03-12,5,7.3,83.00,8.1,6.7,1026.80,-999,4.2,4.4,9.5,-999,1,.0,-999,0
433,1948-03-13,5,2.3,70.00,6.9,6.3,1024.60,-999,5.0,4.6,10.5,-999,1,.0,-999,0
433,1948-03-14,5,.0,79.00,6.4,4.2,1033.10,-999,-.7,.2,9.8,-999,0,.0,-999,0
433,1948-03-15,5,6.7,69.00,6.9,8.0,1020.40,-999,-1.4,.9,11.0,-999,0,.0,-999,0
433,1948-03-16,5,6.0,78.00,8.0,6.4,1005.30,-999,6.5,4.3,10.5,-999,1,.0,-999,0
433,1948-03-17,5,3.0,67.00,5.9,5.7,1006.40,-999,1.4,2.0,9.0,-999,1,2.4,-999,0
433,1948-03-18,5,8.0,91.00,7.7,4.0,1000.80,-999,1.0,1.9,9.0,-999,1,1.4,-999,0
433,1948-03-19,5,7.0,73.00,6.2,5.0,1016.00,-999,1.0,.8,7.5,-999,1,17.6,-999,0
433,1948-03-20,5,8.0,87.00,10.1,9.2,1015.20,-999,4.3,4.9,11.6,-999,1,.7,-999,0
433,1948-03-21,5,7.3,73.00,8.8,9.6,1012.60,-999,7.6,9.0,13.2,-999,1,.0,-999,0
433,1948-03-22,5,7.0,77.00,8.3,7.6,1005.60,-999,7.5,5.5,11.0,-999,1,.0,-999,0
433,1948-03-23,5,4.0,63.00,5.1,4.4,1012.00,-999,1.2,1.9,7.3,-999,1,1.3,-999,0
433,1948-03-24,5,3.3,72.00,6.1,5.0,1022.00,-999,.6,1.1,9.4,-999,0,.0,-999,0
433,1948-03-25,5,8.0,72.00,7.6,7.9,1018.80,-999,.3,2.8,10.3,-999,0,.0,-999,0
433,1948-03-26,5,3.0,66.00,5.9,6.0,1024.50,-999,-1.0,1.8,9.9,-999,1,.0,-999,0
433,1948-03-27,5,1.0,61.00,5.4,5.7,1027.20,-999,-2.5,1.3,10.4,-999,0,.0,-999,0
433,1948-03-28,5,.3,56.00,5.5,7.6,1023.20,-999,-2.7,.5,13.9,-999,0,.0,-999,0
433,1948-03-29,5,.3,60.00,6.9,9.6,1018.70,-999,-.3,3.5,16.8,-999,0,.0,-999,0
433,1948-03-30,5,.0,51.00,6.4,11.2,1008.30,-999,.0,3.5,19.1,-999,0,.0,-999,0
433,1948-03-31,5,2.7,56.00,7.6,12.2,1002.30,-999,1.6,4.7,18.8,-999,0,.0,-999,0
433,1948-04-01,5,6.3,64.00,9.0,11.4,997.10,-999,6.0,9.3,15.4,-999,1,.0,-999,0
433,1948-04-02,5,4.3,61.00,7.1,9.2,1002.70,-999,4.0,6.3,13.4,-999,0,.0,-999,0
